subject,session,trial,serialpos,word,recalled,raw_cosine,centered_cosine,true_word_rank,true_word_percentile,top1_correct,top5_correct,top10_correct,centered_true_word_rank,centered_true_word_percentile,centered_top1_correct,centered_top5_correct,centered_top10_correct
LTP303,10,1,1,BOUQUET,1,0.8749011847796914,0.09461949478729532,98,0.831304347826087,0,0,0,84,0.8556521739130435,0,0,0
LTP303,10,1,2,CLOTHES,1,0.8755950213147617,0.14395660716800215,83,0.8573913043478261,0,0,0,36,0.9391304347826087,0,0,0
LTP303,10,1,3,BRANCH,1,0.8496222854493868,0.09599077263592161,278,0.5182608695652173,0,0,0,113,0.8052173913043479,0,0,0
LTP303,10,1,4,ZIPPER,1,0.7817397531044705,-0.03220107794849293,557,0.03304347826086962,0,0,0,365,0.3669565217391304,0,0,0
LTP303,10,1,5,AIRPLANE,1,0.8506738057759058,-0.008978611086788102,289,0.49913043478260866,0,0,0,296,0.4869565217391304,0,0,0
LTP303,10,1,6,BALLOON,1,0.8866156325593487,0.04219343323963018,25,0.9582608695652174,0,0,0,175,0.6973913043478261,0,0,0
LTP303,10,1,7,PERMIT,1,0.8268853111859203,-0.28121143473272653,431,0.25217391304347825,0,0,0,570,0.01043478260869568,0,0,0
LTP303,10,1,8,RATTLE,1,0.868712337348682,-0.036574224836350776,147,0.7460869565217392,0,0,0,368,0.36173913043478256,0,0,0
LTP303,10,1,9,BRIEFCASE,1,0.8554963501914672,0.11043850294583502,243,0.5791304347826087,0,0,0,71,0.8782608695652174,0,0,0
LTP303,10,1,10,DRILL,0,0.8514809569611139,-0.14729824143057074,274,0.5252173913043479,0,0,0,528,0.08347826086956522,0,0,0
LTP303,10,1,11,INFANT,1,0.8557167048830702,-0.08233354854085807,220,0.6191304347826088,0,0,0,437,0.24173913043478257,0,0,0
LTP303,10,1,12,POWDER,1,0.8265496060360428,-0.05704731518368631,435,0.24521739130434783,0,0,0,382,0.33739130434782605,0,0,0
LTP303,10,1,13,LUGGAGE,0,0.8740155190472243,-0.08411515647893958,92,0.8417391304347825,0,0,0,470,0.18434782608695655,0,0,0
LTP303,10,1,14,TILE,1,0.8424568551956076,0.10302222095347519,364,0.3686956521739131,0,0,0,65,0.888695652173913,0,0,0
LTP303,10,1,15,FLASK,1,0.8767486427530167,0.049859996985814295,81,0.8608695652173913,0,0,0,164,0.7165217391304348,0,0,0
LTP303,10,1,16,KNIFE,1,0.8304498740096892,0.11064574376915676,426,0.26086956521739135,0,0,0,71,0.8782608695652174,0,0,0
LTP303,10,1,17,LOFT,1,0.8869310676291352,0.03187950742362503,24,0.96,0,0,0,209,0.6382608695652174,0,0,0
LTP303,10,1,18,FOREST,1,0.8115839091329851,-0.017969193919279834,488,0.15304347826086961,0,0,0,325,0.4365217391304348,0,0,0
LTP303,10,1,19,KLEENEX,1,0.8332472621255888,-0.04935944073902089,421,0.26956521739130435,0,0,0,389,0.3252173913043478,0,0,0
